Datetime,open,high,low,close,volume
2021-06-09 09:59,1.21907,1.21911,1.21906,1.21908,68
2021-06-09 10:00,1.21908,1.21908,1.21895,1.21896,95
2021-06-09 10:01,1.21897,1.21898,1.2189,1.21895,46
2021-06-09 10:02,1.21896,1.21898,1.21894,1.21898,9
2021-06-09 10:03,1.21898,1.21899,1.21892,1.21894,20
2021-06-09 10:04,1.21894,1.21898,1.21891,1.21896,42
2021-06-09 10:05,1.21896,1.21898,1.21891,1.21897,41
2021-06-09 10:06,1.21897,1.21897,1.21889,1.2189,20
2021-06-09 10:07,1.2189,1.21894,1.21886,1.21887,48
2021-06-09 10:08,1.21886,1.21892,1.21886,1.21889,31
2021-06-09 10:09,1.2189,1.21894,1.21887,1.21894,25
2021-06-09 10:10,1.21893,1.21914,1.21893,1.21914,36
2021-06-09 10:11,1.21915,1.21918,1.21912,1.21915,44
2021-06-09 10:12,1.21915,1.21916,1.21912,1.21914,9
2021-06-09 10:13,1.21913,1.21925,1.21913,1.21924,20
2021-06-09 10:14,1.21925,1.21934,1.21925,1.21925,46
2021-06-09 10:15,1.21925,1.2193,1.21925,1.21928,23
2021-06-09 10:16,1.21927,1.21929,1.21923,1.21924,26
2021-06-09 10:17,1.21925,1.21926,1.21923,1.21924,10
2021-06-09 10:18,1.21924,1.21924,1.21914,1.21917,38
2021-06-09 10:19,1.21918,1.21918,1.21913,1.21914,18
2021-06-09 10:20,1.21915,1.2192,1.21914,1.21914,13
2021-06-09 10:21,1.21916,1.2192,1.21915,1.2192,42
2021-06-09 10:22,1.21918,1.2193,1.21918,1.21923,60
2021-06-09 10:23,1.21923,1.21932,1.21922,1.21928,26
2021-06-09 10:24,1.21927,1.21929,1.21922,1.21922,71
2021-06-09 10:25,1.21923,1.21925,1.21908,1.21912,106
2021-06-09 10:26,1.21915,1.21916,1.21907,1.2191,135
2021-06-09 10:27,1.21909,1.21916,1.21909,1.21913,17
2021-06-09 10:28,1.21915,1.21925,1.21908,1.2192,32
2021-06-09 10:29,1.21919,1.21934,1.21919,1.21934,19
2021-06-09 10:30,1.21933,1.21944,1.21932,1.21937,24
2021-06-09 10:31,1.21936,1.21936,1.21918,1.2192,45
2021-06-09 10:32,1.2192,1.21923,1.21917,1.21917,44
2021-06-09 10:33,1.21916,1.21917,1.21913,1.21913,16
2021-06-09 10:34,1.21914,1.21914,1.21908,1.21909,28
2021-06-09 10:35,1.21906,1.21908,1.21904,1.21906,39
2021-06-09 10:36,1.21905,1.21912,1.21904,1.21912,26
2021-06-09 10:37,1.21913,1.21918,1.21912,1.21917,10
2021-06-09 10:38,1.21916,1.21921,1.21916,1.21919,8
2021-06-09 10:39,1.21918,1.21922,1.21913,1.21913,26
2021-06-09 10:40,1.21916,1.21917,1.21912,1.21912,17
2021-06-09 10:41,1.21911,1.21913,1.21911,1.21911,21
2021-06-09 10:42,1.21912,1.21913,1.21911,1.21913,37
2021-06-09 10:43,1.21916,1.21935,1.21916,1.21934,19
2021-06-09 10:44,1.21934,1.21938,1.21928,1.2193,19
2021-06-09 10:45,1.21933,1.21944,1.21933,1.21944,38
2021-06-09 10:46,1.21941,1.21947,1.2194,1.21943,50
2021-06-09 10:47,1.21942,1.21942,1.21932,1.21939,40
2021-06-09 10:48,1.21939,1.21939,1.21934,1.21939,40
2021-06-09 10:49,1.21937,1.21939,1.21935,1.21938,21
2021-06-09 10:50,1.21938,1.21944,1.21938,1.21943,10
2021-06-09 10:51,1.21945,1.2195,1.21942,1.21944,26
2021-06-09 10:52,1.21943,1.21943,1.21937,1.21939,14
2021-06-09 10:53,1.21936,1.21936,1.21918,1.21918,32
2021-06-09 10:54,1.21915,1.21925,1.21909,1.21924,39
2021-06-09 10:55,1.21924,1.21924,1.21919,1.21919,9
2021-06-09 10:56,1.21919,1.21923,1.21919,1.21923,4
2021-06-09 10:57,1.21924,1.21935,1.21923,1.21935,28
2021-06-09 10:58,1.21936,1.2194,1.21932,1.21932,25
2021-06-09 10:59,1.2193,1.21935,1.21921,1.21921,39
2021-06-09 11:00,1.21922,1.21933,1.21922,1.21927,29
2021-06-09 11:01,1.21927,1.21927,1.21921,1.21921,33
2021-06-09 11:02,1.2192,1.2192,1.21917,1.21917,8
2021-06-09 11:03,1.21918,1.21923,1.21912,1.21913,30
2021-06-09 11:04,1.21912,1.21913,1.21912,1.21913,7
2021-06-09 11:05,1.21913,1.21914,1.21912,1.21913,9
2021-06-09 11:06,1.21911,1.21914,1.21908,1.21908,18
2021-06-09 11:07,1.21908,1.21908,1.219,1.21902,38
2021-06-09 11:08,1.21901,1.21904,1.219,1.21904,7
2021-06-09 11:09,1.21902,1.21904,1.219,1.21902,20
2021-06-09 11:10,1.21901,1.2192,1.21896,1.21915,77
2021-06-09 11:11,1.21915,1.2192,1.21915,1.21917,19
2021-06-09 11:12,1.21916,1.21916,1.21898,1.21903,40
2021-06-09 11:13,1.219,1.21903,1.219,1.21902,17
2021-06-09 11:14,1.21903,1.21912,1.21901,1.21912,30
2021-06-09 11:15,1.21913,1.2192,1.2191,1.2192,30
2021-06-09 11:16,1.21919,1.21922,1.21917,1.2192,31
2021-06-09 11:17,1.2192,1.2192,1.21907,1.21908,9
2021-06-09 11:18,1.21907,1.21907,1.21902,1.21902,21
2021-06-09 11:19,1.21901,1.2192,1.21901,1.21909,68
2021-06-09 11:20,1.21908,1.21916,1.21906,1.21913,36
2021-06-09 11:21,1.21914,1.21923,1.2191,1.21923,34
2021-06-09 11:22,1.21923,1.21929,1.21919,1.21925,19
2021-06-09 11:23,1.21924,1.21928,1.21922,1.21923,29
2021-06-09 11:24,1.21923,1.21928,1.21923,1.21928,21
2021-06-09 11:25,1.21929,1.21943,1.21925,1.21936,46
2021-06-09 11:26,1.21935,1.21946,1.21935,1.21942,50
2021-06-09 11:27,1.21943,1.21943,1.21925,1.21932,68
2021-06-09 11:28,1.2193,1.21938,1.21929,1.2193,74
2021-06-09 11:29,1.21929,1.21938,1.21929,1.21933,45
2021-06-09 11:30,1.21934,1.21939,1.21917,1.21919,58
2021-06-09 11:31,1.21919,1.21923,1.21914,1.21914,34
2021-06-09 11:32,1.21917,1.2192,1.21909,1.21911,43
2021-06-09 11:33,1.21911,1.21911,1.21908,1.21908,15
2021-06-09 11:34,1.21911,1.21914,1.21904,1.21904,33
2021-06-09 11:35,1.21902,1.21905,1.219,1.219,36
2021-06-09 11:36,1.21901,1.21905,1.21899,1.21903,25
2021-06-09 11:37,1.21901,1.21907,1.21899,1.21904,39
2021-06-09 11:38,1.21904,1.21909,1.21902,1.21908,30
2021-06-09 11:39,1.21909,1.21911,1.21905,1.21905,42
2021-06-09 11:40,1.21907,1.21909,1.21907,1.21909,13
2021-06-09 11:41,1.21909,1.21913,1.21906,1.21913,6
2021-06-09 11:42,1.21912,1.21913,1.21904,1.21904,21
2021-06-09 11:43,1.21905,1.21925,1.21905,1.21922,26
2021-06-09 11:44,1.21923,1.21943,1.21923,1.21942,104
2021-06-09 11:45,1.21943,1.21947,1.21929,1.21933,95
2021-06-09 11:46,1.21932,1.21933,1.21928,1.2193,37
2021-06-09 11:47,1.21931,1.21931,1.21927,1.21929,24
2021-06-09 11:48,1.21927,1.21931,1.21918,1.21918,21
2021-06-09 11:49,1.21919,1.21927,1.21918,1.21918,34
2021-06-09 11:50,1.21919,1.21936,1.21919,1.21936,31
2021-06-09 11:51,1.21937,1.21939,1.2193,1.21933,18
2021-06-09 11:52,1.21934,1.21938,1.21932,1.21938,8
2021-06-09 11:53,1.21939,1.21943,1.21938,1.21939,31
2021-06-09 11:54,1.21939,1.21939,1.21931,1.21936,35
2021-06-09 11:55,1.21937,1.21967,1.21937,1.21964,66
2021-06-09 11:56,1.21965,1.21973,1.21957,1.2196,94
2021-06-09 11:57,1.21962,1.21976,1.21961,1.21974,73
2021-06-09 11:58,1.21974,1.21974,1.21968,1.21969,65
2021-06-09 11:59,1.21968,1.21968,1.21948,1.21948,77
2021-06-09 12:00,1.21948,1.21953,1.21942,1.21947,125
2021-06-09 12:01,1.21947,1.21948,1.2192,1.21921,122
2021-06-09 12:02,1.21922,1.21925,1.21918,1.21918,33
2021-06-09 12:03,1.2192,1.21923,1.21916,1.21923,11
2021-06-09 12:04,1.21923,1.21925,1.21917,1.21917,26
2021-06-09 12:05,1.21918,1.21927,1.21918,1.21926,22
2021-06-09 12:06,1.21926,1.2195,1.21926,1.21936,59
2021-06-09 12:07,1.21937,1.21951,1.21934,1.21951,64
2021-06-09 12:08,1.2195,1.21957,1.21944,1.21955,79
2021-06-09 12:09,1.21954,1.21961,1.21949,1.21949,89
2021-06-09 12:10,1.2195,1.21953,1.21937,1.21937,43
2021-06-09 12:11,1.21938,1.2194,1.21934,1.21936,25
2021-06-09 12:12,1.21934,1.21945,1.21931,1.21932,28
2021-06-09 12:13,1.21933,1.21937,1.2193,1.21933,26
2021-06-09 12:14,1.21934,1.21953,1.21934,1.21946,55
2021-06-09 12:15,1.21947,1.21948,1.21933,1.21933,36
2021-06-09 12:16,1.21932,1.21933,1.2191,1.21911,56
2021-06-09 12:17,1.2191,1.21916,1.21903,1.21903,49
2021-06-09 12:18,1.21902,1.21902,1.219,1.21902,19
2021-06-09 12:19,1.21906,1.2191,1.21902,1.21902,59
2021-06-09 12:20,1.219,1.21925,1.219,1.21925,42
2021-06-09 12:21,1.21924,1.21931,1.21921,1.21929,49
2021-06-09 12:22,1.2193,1.21937,1.21926,1.21926,28
2021-06-09 12:23,1.21925,1.2194,1.21925,1.21929,69
2021-06-09 12:24,1.21929,1.21941,1.21926,1.2194,106
2021-06-09 12:25,1.21939,1.21943,1.21923,1.21923,109
2021-06-09 12:26,1.21925,1.21929,1.21916,1.21923,42
2021-06-09 12:27,1.21922,1.21923,1.21918,1.21921,39
2021-06-09 12:28,1.2192,1.2192,1.21899,1.219,55
2021-06-09 12:29,1.21899,1.219,1.21893,1.21899,40
2021-06-09 12:30,1.21898,1.2192,1.21897,1.21918,36
2021-06-09 12:31,1.2192,1.21936,1.2192,1.21934,95
2021-06-09 12:32,1.21932,1.21932,1.21924,1.21927,78
2021-06-09 12:33,1.21926,1.21945,1.21926,1.21936,32
2021-06-09 12:34,1.21937,1.21946,1.21931,1.21933,105
2021-06-09 12:35,1.21931,1.21952,1.21931,1.21948,75
2021-06-09 12:36,1.21946,1.21948,1.21934,1.21945,63
2021-06-09 12:37,1.21944,1.21952,1.21942,1.21943,47
2021-06-09 12:38,1.21942,1.21943,1.21934,1.21943,28
